iter	Passed	Remaining
0	1	300
1	2	347
2	3	334
3	4	333
4	5	334
5	6	321
6	7	310
7	8	301
8	9	292
9	9	289
10	10	288
11	11	283
12	12	281
13	13	276
14	14	276
15	15	277
16	16	273
17	17	272
18	18	274
19	19	273
20	20	271
21	21	268
22	22	267
23	23	265
24	23	263
25	24	261
26	25	261
27	26	260
28	27	259
29	28	257
30	29	258
31	31	259
32	32	263
33	34	268
34	35	266
35	36	266
36	37	264
37	38	262
38	38	260
39	39	257
40	41	259
41	42	261
42	44	264
43	45	266
44	47	267
45	48	265
46	50	271
47	51	270
48	52	269
49	53	269
50	55	269
51	58	279
52	59	279
53	62	283
54	64	288
55	67	291
56	68	290
57	69	291
58	71	291
59	72	289
60	74	291
61	75	290
62	77	290
63	78	289
64	79	287
65	81	289
66	82	286
67	83	285
68	84	284
69	87	286
70	89	287
71	90	287
72	92	286
73	93	284
74	94	283
75	95	281
76	97	282
77	98	280
78	99	278
79	100	277
80	101	275
81	102	273
82	105	275
83	106	274
84	107	272
85	108	270
86	110	269
87	111	269
88	112	267
89	113	265
90	115	264
91	116	262
92	116	260
93	118	259
94	119	258
95	120	256
96	121	255
97	122	252
98	124	253
99	126	253
100	129	254
101	131	254
102	133	254
103	134	254
104	136	252
105	137	251
106	138	249
107	140	249
108	141	247
109	143	247
110	145	247
111	147	247
112	149	247
113	151	246
114	152	245
115	153	244
116	155	243
117	156	241
118	157	239
119	160	240
120	161	239
121	164	240
122	167	240
123	169	239
124	171	239
125	172	238
126	173	236
127	175	235
128	176	233
129	177	231
130	178	230
131	180	230
132	182	228
133	182	226
134	183	224
135	185	223
136	186	221
137	187	219
138	188	217
139	188	215
140	191	215
141	192	214
142	194	213
143	195	212
144	196	210
145	197	208
146	200	208
147	202	207
148	202	205
149	203	203
150	205	202
151	207	202
152	208	200
153	209	198
154	211	197
155	212	195
156	213	194
157	215	193
158	216	191
159	218	190
160	219	189
161	220	187
162	222	186
163	223	185
164	224	183
165	225	182
166	227	180
167	227	179
168	228	177
169	229	175
170	231	174
171	233	174
172	236	173
173	239	173
174	241	172
175	242	170
176	243	169
177	244	167
178	245	165
179	247	165
180	249	163
181	250	162
182	251	160
183	252	159
184	253	157
185	255	156
186	256	155
187	257	153
188	259	152
189	260	150
190	261	149
191	262	147
192	262	145
193	264	144
194	265	142
195	267	141
196	268	140
197	269	138
198	270	137
199	271	135
200	271	133
201	273	132
202	274	131
203	275	129
204	276	128
205	277	126
206	278	125
207	280	123
208	281	122
209	282	121
210	283	119
211	284	118
212	285	116
213	286	115
214	287	113
215	288	112
216	289	110
217	290	109
218	291	107
219	292	106
220	292	104
221	294	103
222	295	102
223	298	101
224	301	100
225	302	99
226	303	97
227	304	96
228	305	94
229	306	93
230	308	92
231	309	90
232	310	89
233	311	87
234	314	87
235	317	86
236	318	84
237	319	83
238	321	81
239	321	80
240	322	79
241	323	77
242	325	76
243	326	74
244	328	73
245	329	72
246	330	71
247	335	70
248	337	69
249	338	67
250	339	66
251	340	64
252	341	63
253	342	61
254	344	60
255	345	59
256	346	58
257	348	56
258	350	55
259	351	54
260	352	52
261	354	51
262	355	50
263	357	48
264	358	47
265	361	46
266	362	44
267	365	43
268	368	42
269	371	41
270	372	39
271	373	38
272	374	37
273	375	35
274	376	34
275	377	32
276	378	31
277	380	30
278	382	28
279	388	27
280	400	27
281	411	26
282	413	24
283	416	23
284	419	22
285	420	20
286	423	19
287	425	17
288	428	16
289	430	14
290	432	13
291	433	11
292	435	10
293	436	8
294	437	7
295	438	5
296	440	4
297	441	2
298	442	1
299	444	0
