iter	Logloss
0	0.6774757358
1	0.6614196647
2	0.6510686263
3	0.6430819583
4	0.6352699512
5	0.6298981001
6	0.6156566383
7	0.6062435276
8	0.5970818747
9	0.5901308151
10	0.588031618
11	0.5778833242
12	0.5637294936
13	0.5593105419
14	0.5559984692
15	0.5522464946
16	0.5487750576
17	0.5439123035
18	0.5430443806
19	0.5377836967
20	0.5324759208
21	0.5297787902
22	0.5273490185
23	0.5237922948
24	0.5222861696
25	0.5199437424
26	0.5187874483
27	0.5153985764
28	0.5117146624
29	0.5094567922
30	0.5063871361
31	0.5042074664
32	0.5030170234
33	0.5007577845
34	0.4982968485
35	0.4968351563
36	0.4945975418
37	0.49310511
38	0.4906031439
39	0.4894112083
40	0.4878795465
41	0.4844225866
42	0.4834500149
43	0.4831117624
44	0.4820407136
45	0.4807772905
46	0.4783002795
47	0.4764776144
48	0.4744663836
49	0.4735957762
50	0.4735952853
51	0.4724157065
52	0.4723034072
53	0.4711413488
54	0.470164134
55	0.4693365604
56	0.4680717533
57	0.4671847177
58	0.4655020207
59	0.465181025
60	0.4639218705
61	0.4636184184
62	0.462075723
63	0.4605067832
64	0.4595971645
65	0.4592455546
66	0.4584175205
67	0.4571722495
68	0.4564024992
69	0.4556265763
70	0.4551710507
71	0.4546424813
72	0.4524913015
73	0.4516568586
74	0.451020702
75	0.4498918481
76	0.4496357926
77	0.4489642526
78	0.4484364235
79	0.4471145495
80	0.446639233
81	0.4466394598
82	0.4461849554
83	0.4451517975
84	0.4444690046
85	0.4444648
86	0.4434289409
87	0.44336696
88	0.4428876904
89	0.4418576628
90	0.440910452
91	0.440311498
92	0.4396830489
93	0.4395739543
94	0.4392671822
95	0.4381847175
96	0.4374030615
97	0.4359927405
98	0.4349813239
99	0.4338933679
100	0.4330922998
101	0.4316635807
102	0.4314008838
103	0.4310506649
104	0.4303479261
105	0.4297799977
106	0.429267824
107	0.4283812504
108	0.4282338721
109	0.4259696221
110	0.4256303053
111	0.424954512
112	0.4245117005
113	0.4241337872
114	0.423626804
115	0.4227659014
116	0.4215672439
117	0.4209228598
118	0.4206633587
119	0.4199232264
120	0.4190420462
121	0.4176978728
122	0.41610955
123	0.415644628
124	0.4146782589
125	0.41446488
126	0.4141720937
127	0.4127845259
128	0.4119437881
129	0.4111857344
130	0.4103942504
131	0.4102040936
132	0.4096653943
133	0.4088427986
134	0.4075648472
135	0.4066640803
136	0.4057646049
137	0.4053911524
138	0.4050250244
139	0.4043097553
140	0.4022074588
141	0.4006822125
142	0.3995752258
143	0.3990137062
144	0.3979225814
145	0.3961255325
146	0.3944390643
147	0.3933991413
148	0.3923367071
149	0.3915735137
150	0.3912560663
151	0.3889628855
152	0.3884292828
153	0.3870361436
154	0.3861668237
155	0.3848960629
156	0.3839755357
157	0.38259069
158	0.3816731764
159	0.3802615976
160	0.3792719711
161	0.3778333696
162	0.376348148
163	0.3754417245
164	0.3732653681
165	0.372021877
166	0.3704037015
167	0.3690668497
168	0.3665354125
169	0.3655107231
170	0.3636068185
171	0.3625637229
172	0.3607454764
173	0.3597526983
174	0.358359546
175	0.3571921577
176	0.3552655792
177	0.3531648827
178	0.3506661431
179	0.3493589207
180	0.3466224095
181	0.3456784385
182	0.3449335159
183	0.3433310216
184	0.3406177568
185	0.3395710443
186	0.3383120203
187	0.3375876131
188	0.3363695339
189	0.3350054239
190	0.3335877307
191	0.3328563547
192	0.3310433318
193	0.3304948374
194	0.3285595655
195	0.3278679778
196	0.3271864026
197	0.3262043432
198	0.3250065918
199	0.32362968
200	0.3217755353
201	0.3210455802
202	0.3196049881
203	0.3191174596
204	0.3177466675
205	0.3164009555
206	0.3157319428
207	0.3145970799
208	0.3134877803
209	0.31253921
210	0.3119298127
211	0.3112945611
212	0.3102677409
213	0.3096887652
214	0.3089388978
215	0.3077498468
216	0.3068856077
217	0.3064778124
218	0.3053455083
219	0.3047640794
220	0.3043413172
221	0.3031660643
222	0.3025368195
223	0.3016252286
224	0.3007377927
225	0.2999588677
226	0.2991715488
227	0.2983741229
228	0.2979452416
229	0.2962845691
230	0.2951989365
231	0.2944279407
232	0.2928612776
233	0.2922233963
234	0.291262201
235	0.2897811883
236	0.288218036
237	0.287335872
238	0.2865705961
239	0.2856327035
240	0.2846575597
241	0.2842021542
242	0.283304944
243	0.282684164
244	0.281882266
245	0.2814143686
246	0.280678091
247	0.2805167096
248	0.280118158
249	0.2794643685
250	0.2786765734
251	0.2778387127
252	0.277320672
253	0.2762175557
254	0.2756156836
255	0.2753462982
256	0.2749806684
257	0.2744303115
258	0.2741117188
259	0.2721191336
260	0.2714805549
261	0.2710772292
262	0.2705680879
263	0.2692330634
264	0.2684711294
265	0.2669292765
266	0.2660536397
267	0.2652716595
268	0.2647826529
269	0.2642831265
270	0.2636552
271	0.2621768268
272	0.2614024223
273	0.2608951756
274	0.2593545036
275	0.2582928286
276	0.257727198
277	0.2564013268
278	0.256049084
279	0.2555173623
280	0.2547193591
281	0.2544273678
282	0.2537445501
283	0.2528439407
284	0.2522940394
285	0.2511864684
286	0.2497959979
287	0.2490966791
288	0.2482966026
289	0.2470024147
290	0.2466757205
291	0.2462245235
292	0.2455620305
293	0.2448078912
294	0.2438426622
295	0.2431791118
296	0.2420988251
297	0.241805431
298	0.2405924622
299	0.2395114644
300	0.239178072
301	0.2387797772
302	0.2384002555
303	0.238241766
304	0.2376863677
305	0.236985541
306	0.236355594
307	0.2352378416
308	0.2347852643
309	0.234027868
310	0.2336090911
311	0.2333008868
312	0.2322751665
313	0.2309199413
314	0.2305438941
315	0.2302710314
316	0.229976512
317	0.2282037077
318	0.2279106703
319	0.227319575
320	0.2269466114
321	0.2263061136
322	0.2259807053
323	0.2246226317
324	0.2237812726
325	0.2234350398
326	0.2224730657
327	0.2212551009
328	0.2207132505
329	0.219455054
330	0.2177889748
331	0.2173002539
332	0.2170681731
333	0.2166717354
334	0.2163477437
335	0.2159397326
336	0.214800944
337	0.2141705949
338	0.2136641343
339	0.2127040542
340	0.2118213005
341	0.21151496
342	0.2112819153
343	0.2107372392
344	0.2098512681
345	0.2093757982
346	0.2090063887
347	0.2081736037
348	0.2074773938
349	0.2070459576
350	0.2067333476
351	0.2058441156
352	0.2055827188
353	0.2047153829
354	0.2041705637
355	0.2035627317
356	0.2034624062
357	0.2030970952
358	0.2024023654
359	0.2013434486
360	0.2008702408
361	0.2005327997
362	0.2001735649
