iter	Passed	Remaining
0	1	478
1	2	489
2	3	498
3	5	506
4	6	496
5	7	494
6	9	508
7	10	515
8	11	512
9	13	516
10	14	516
11	15	517
12	17	512
13	18	513
14	19	504
15	20	503
16	22	501
17	23	496
18	24	494
19	25	490
20	27	490
21	28	486
22	29	482
23	30	481
24	31	477
25	33	475
26	34	474
27	35	471
28	36	472
29	38	470
30	39	467
31	40	466
32	41	465
33	43	463
34	44	462
35	45	459
36	46	456
37	47	456
38	49	455
39	50	451
40	51	450
41	52	448
42	53	447
43	54	444
44	56	444
45	57	442
46	59	443
47	60	441
48	61	440
49	62	439
50	63	434
51	64	434
52	66	433
53	67	432
54	68	431
55	69	429
56	71	428
57	72	428
58	73	426
59	75	425
60	76	423
61	77	421
62	78	419
63	79	417
64	80	416
65	82	415
66	83	414
67	84	413
68	85	412
69	87	413
70	88	411
71	90	410
72	91	410
73	92	408
74	94	407
75	95	407
76	96	406
77	98	405
78	99	404
79	100	402
80	101	401
81	102	398
82	104	397
83	105	397
84	106	395
85	107	392
86	108	391
87	110	390
88	111	389
89	112	388
90	113	386
91	115	385
92	116	383
93	117	382
94	119	383
95	120	382
96	122	381
97	123	379
98	124	377
99	125	376
100	126	375
101	128	374
102	129	373
103	130	372
104	132	371
105	133	369
106	134	368
107	135	366
108	136	365
109	138	364
110	139	362
111	140	360
112	141	359
113	142	358
114	143	356
115	145	355
116	146	353
117	147	352
118	148	350
119	149	349
120	151	348
121	152	347
122	153	346
123	154	344
124	156	343
125	157	341
126	158	340
127	159	339
128	161	338
129	162	337
130	163	335
131	164	334
132	165	333
133	167	332
134	168	330
135	169	329
136	170	327
137	171	326
138	173	325
139	174	323
140	175	323
141	177	321
142	178	320
143	179	319
144	180	317
145	181	316
146	183	315
147	184	314
148	185	313
149	186	311
150	188	310
151	189	309
152	190	307
153	191	306
154	193	305
155	194	303
156	195	302
157	196	301
158	197	300
159	199	299
160	200	297
161	201	296
162	202	294
163	203	293
164	204	291
165	206	290
166	207	289
167	208	288
168	209	286
169	210	285
170	212	284
171	213	282
172	214	281
173	216	280
174	217	279
175	218	278
176	219	276
177	220	275
178	222	274
179	223	272
180	224	271
181	225	270
182	227	269
183	228	267
184	229	266
185	230	265
186	231	264
187	232	262
188	233	261
189	235	259
190	236	258
191	237	257
192	238	256
193	239	254
194	241	253
195	242	252
196	243	250
197	244	249
198	245	248
199	247	247
200	248	246
201	249	244
202	251	243
203	252	242
204	253	241
205	254	239
206	256	238
207	257	237
208	258	236
209	259	234
210	260	233
211	261	232
212	263	230
213	264	229
214	265	228
215	266	227
216	267	225
217	268	224
218	269	223
219	271	221
220	272	220
221	273	219
222	274	218
223	275	216
224	277	215
225	278	214
226	279	213
227	280	211
228	281	210
229	283	209
230	284	208
231	285	206
232	286	205
233	288	204
234	289	203
235	290	201
236	291	200
237	293	199
238	294	198
239	295	197
240	296	195
241	298	194
242	299	193
243	300	192
244	301	190
245	302	189
246	303	188
247	305	186
248	306	185
249	307	184
250	308	183
251	310	182
252	311	180
253	312	179
254	313	178
255	314	177
256	315	175
257	317	174
258	318	173
259	319	172
260	320	170
261	322	169
262	323	168
263	324	167
264	325	165
265	326	164
266	328	163
267	329	162
268	330	160
269	331	159
270	332	158
271	334	157
272	335	155
273	336	154
274	337	153
275	339	152
276	340	151
277	342	150
278	343	148
279	344	147
280	345	146
281	347	145
282	348	143
283	349	142
284	350	141
285	351	140
286	353	139
287	354	137
288	355	136
289	356	135
290	357	134
291	359	132
292	360	131
293	361	130
294	362	129
295	363	127
296	365	126
297	366	125
298	367	124
299	368	122
300	370	121
301	371	120
302	372	119
303	373	118
304	375	116
305	376	115
306	377	114
307	378	113
308	379	111
309	381	110
310	382	109
311	384	108
312	385	107
313	386	105
314	388	104
315	389	103
316	390	102
317	391	101
318	392	99
319	394	98
320	395	97
321	396	96
322	397	94
323	399	93
324	400	92
325	401	91
326	402	89
327	404	88
328	405	87
329	406	86
330	408	85
331	409	83
332	410	82
333	411	81
334	413	80
335	414	78
336	415	77
337	416	76
338	417	75
339	419	74
340	420	72
341	421	71
342	422	70
343	423	69
344	425	67
345	426	66
346	427	65
347	428	64
348	429	62
349	430	61
350	432	60
351	433	59
352	434	57
353	436	56
354	437	55
355	438	54
356	439	52
357	441	51
358	442	50
359	443	49
360	444	48
361	445	46
362	447	45
363	448	44
364	449	43
365	451	41
366	452	40
367	453	39
368	454	38
369	455	36
370	457	35
371	458	34
372	459	33
373	460	32
374	461	30
375	463	29
376	464	28
377	465	27
378	467	25
379	468	24
380	469	23
381	470	22
382	471	20
383	473	19
384	474	18
385	475	17
386	476	16
387	478	14
388	479	13
389	481	12
390	482	11
391	483	9
392	484	8
393	485	7
394	486	6
395	488	4
396	489	3
397	490	2
398	491	1
399	492	0
